Wall time,Step,Value
1530252519.568505,0,0.114810511469841
1530252582.463405,1,0.08352336287498474
1530252645.97435,2,0.0708291083574295
1530252709.914185,3,0.06631873548030853
1530252774.963522,4,0.06514855474233627
1530252838.803547,5,0.06232057884335518
1530252902.07642,6,0.05967073142528534
1530252967.535105,7,0.05827489122748375
1530253032.250118,8,0.05698470398783684
1530253096.26675,9,0.05531973019242287
1530253160.862618,10,0.055657196789979935
1530253226.622772,11,0.05482000857591629
1530253289.729807,12,0.05424535274505615
1530253355.352346,13,0.05169057101011276
1530253420.736854,14,0.053261108696460724
1530253486.129054,15,0.05298791453242302
1530253551.418604,16,0.04897525534033775
1530253617.155673,17,0.04937135428190231
1530253682.244973,18,0.04857388511300087
1530253746.359462,19,0.04989111050963402
1530253810.406539,20,0.04716632142663002
1530253876.800035,21,0.04626939818263054
1530253941.910537,22,0.04482629522681236
1530254008.139587,23,0.04497800022363663
1530254073.76082,24,0.044056933373212814
1530254138.094846,25,0.0428210087120533
1530254201.367247,26,0.04349706321954727
1530254265.447155,27,0.04374595731496811
1530254330.149046,28,0.04162890836596489
1530254395.620174,29,0.03999842330813408
1530254459.942997,30,0.0397992804646492
1530254524.795008,31,0.039876021444797516
1530254588.853234,32,0.03740422800183296
1530254653.974159,33,0.03611897677183151
1530254718.554379,34,0.036578401923179626
1530254781.474717,35,0.03633829578757286
1530254846.586714,36,0.03644430264830589
1530254911.709305,37,0.0336601622402668
1530254974.833794,38,0.033270832151174545
1530255040.375026,39,0.03341555595397949
1530255104.512672,40,0.03164678439497948
1530255168.980169,41,0.03202762082219124
1530255233.719398,42,0.032417044043540955
1530255296.862515,43,0.03190320357680321
1530255361.638965,44,0.030864937230944633
1530255426.063842,45,0.029956625774502754
1530255491.70495,46,0.031960032880306244
1530255555.408262,47,0.03042791783809662
1530255619.967714,48,0.02866666577756405
1530255684.14041,49,0.026721136644482613
1530255750.385018,50,0.026287848129868507
1530255814.567721,51,0.025182295590639114
1530255878.89877,52,0.02551681362092495
1530255943.075175,53,0.024169478565454483
1530256007.27512,54,0.02242918685078621
1530256072.329205,55,0.02238137647509575
1530256136.691955,56,0.02129010297358036
1530256200.692857,57,0.021624840795993805
1530256266.19222,58,0.01955120638012886
1530256330.280113,59,0.019832827150821686
1530256395.38567,60,0.020799243822693825
1530256459.557467,61,0.020755017176270485
1530256523.659593,62,0.01871090941131115
1530256588.928937,63,0.016813848167657852
1530256653.946095,64,0.015055348165333271
1530256718.449027,65,0.014889208599925041
1530256782.770216,66,0.013994001783430576
1530256847.414823,67,0.01360918115824461
1530256912.41255,68,0.013724363408982754
1530256976.233653,69,0.012313961051404476
1530257040.601051,70,0.014882002025842667
1530257105.878422,71,0.01860668882727623
1530257169.470902,72,0.015620953403413296
1530257234.195394,73,0.01166175864636898
1530257299.213007,74,0.010142377577722073
1530257363.294119,75,0.009574991650879383
1530257429.042209,76,0.00914282351732254
1530257493.667961,77,0.009082495234906673
1530257559.315375,78,0.008496250957250595
1530257624.511975,79,0.008432172238826752
1530257688.979369,80,0.009929685853421688
1530257754.771004,81,0.011392511427402496
1530257818.834853,82,0.015929581597447395
1530257883.107793,83,0.014024388045072556
1530257947.605235,84,0.011790812946856022
1530258012.676116,85,0.00902277510613203
1530258077.392072,86,0.008018740452826023
1530258141.493796,87,0.007350818254053593
1530258206.633873,88,0.006963787600398064
1530258270.784625,89,0.006615303922444582
1530258335.94397,90,0.006451846566051245
1530258399.999241,91,0.006397087126970291
1530258465.343536,92,0.006223629228770733
1530258529.571674,93,0.005986487492918968
1530258593.942166,94,0.005998025648295879
1530258658.614317,95,0.006109023466706276
1530258721.58525,96,0.006341111846268177
1530258787.091218,97,0.00677848607301712
1530258852.294659,98,0.006066787987947464
1530258917.406155,99,0.007997757755219936
1530258981.692087,100,0.014084449969232082
1530259045.798113,101,0.011666412465274334
1530259109.804609,102,0.010681127198040485
1530259174.480147,103,0.007933003827929497
1530259239.00738,104,0.006134045775979757
1530259304.436764,105,0.0056889355182647705
1530259369.379521,106,0.005398430395871401
1530259433.429345,107,0.005236634518951178
1530259497.635277,108,0.005032530520111322
1530259562.191511,109,0.004981577396392822
1530259626.303277,110,0.005173457786440849
1530259690.374808,111,0.0053425999358296394
1530259756.573098,112,0.005338280461728573
1530259820.689527,113,0.004924971144646406
1530259884.943278,114,0.004865765571594238
1530259949.388418,115,0.004842186346650124
1530260013.579103,116,0.004795558750629425
1530260078.55593,117,0.00488928472623229
1530260143.886697,118,0.00464933505281806
1530260207.927231,119,0.004529835656285286
1530260272.497847,120,0.004873772617429495
1530260337.560351,121,0.005406567361205816
1530260402.916229,122,0.00618910975754261
1530260467.355056,123,0.005320319440215826
1530260532.571699,124,0.005017301999032497
1530260596.093842,125,0.004988528788089752
1530260660.434024,126,0.004604913294315338
1530260726.102478,127,0.004384699743241072
1530260790.881213,128,0.00427338806912303
1530260855.485526,129,0.0042519159615039825
1530260920.339534,130,0.004741108976304531
1530260984.401979,131,0.004954247735440731
1530261049.517523,132,0.0046039968729019165
1530261113.744106,133,0.004287636373192072
1530261177.927533,134,0.00458167027682066
