Wall time,Step,Value
1530252519.567782,0,0.2883686423301697
1530252582.462768,1,0.4814225733280182
1530252645.97332,2,0.5819735527038574
1530252709.913133,3,0.6112599968910217
1530252774.962788,4,0.6176841259002686
1530252838.803205,5,0.6376184821128845
1530252902.075636,6,0.6552692651748657
1530252967.534468,7,0.6667261719703674
1530253032.249082,8,0.6739568710327148
1530253096.266178,9,0.683709442615509
1530253160.861996,10,0.6806663274765015
1530253226.621192,11,0.687244176864624
1530253289.729176,12,0.6914287805557251
1530253355.351006,13,0.7050912976264954
1530253420.736174,14,0.6961719989776611
1530253486.128273,15,0.6986000537872314
1530253551.418019,16,0.7226497530937195
1530253617.155412,17,0.7200501561164856
1530253682.244387,18,0.7261926531791687
1530253746.359305,19,0.716638445854187
1530253810.40594,20,0.7347025275230408
1530253876.798871,21,0.7383398413658142
1530253941.909881,22,0.7482083439826965
1530254008.138554,23,0.7477327585220337
1530254073.760215,24,0.7522246241569519
1530254138.093417,25,0.7599053978919983
1530254201.367093,26,0.7550662755966187
1530254265.44697,27,0.75543212890625
1530254330.148014,28,0.7664105892181396
1530254395.619076,29,0.7759627103805542
1530254459.942439,30,0.7767000794410706
1530254524.794364,31,0.776343584060669
1530254588.852154,32,0.7899699807167053
1530254653.972467,33,0.7990720272064209
1530254718.55411,34,0.7960070967674255
1530254781.474554,35,0.7968331575393677
1530254846.586119,36,0.7967451214790344
1530254911.708632,37,0.8117032051086426
1530254974.83302,38,0.8139776587486267
1530255040.374881,39,0.8137104511260986
1530255104.51206,40,0.8228756189346313
1530255168.979888,41,0.8211288452148438
1530255233.719138,42,0.8210432529449463
1530255296.862273,43,0.8229575157165527
1530255361.638389,44,0.8283095359802246
1530255426.063176,45,0.832751989364624
1530255491.704799,46,0.8217908143997192
1530255555.408114,47,0.8312475085258484
1530255619.967077,48,0.8411180377006531
1530255684.140037,49,0.8508921265602112
1530255750.38447,50,0.854076623916626
1530255814.567104,51,0.8602195978164673
1530255878.898611,52,0.8580726981163025
1530255943.074565,53,0.8658738732337952
1530256007.273995,54,0.8765320181846619
1530256072.32855,55,0.8763383030891418
1530256136.690867,56,0.8831172585487366
1530256200.692696,57,0.8810548782348633
1530256266.191633,58,0.8926309943199158
1530256330.27995,59,0.8909614086151123
1530256395.385062,60,0.8852187991142273
1530256459.557227,61,0.8865358233451843
1530256523.659013,62,0.8977460265159607
1530256588.927644,63,0.9083311557769775
1530256653.945548,64,0.9178863167762756
1530256718.448014,65,0.9188790917396545
1530256782.769545,66,0.9239312410354614
1530256847.414676,67,0.9258765578269958
1530256912.412285,68,0.9250843524932861
1530256976.232274,69,0.9331079125404358
1530257040.600791,70,0.9191187024116516
1530257105.878265,71,0.8982849717140198
1530257169.470383,72,0.9151556491851807
1530257234.194778,73,0.936519980430603
1530257299.212036,74,0.9449010491371155
1530257363.293507,75,0.9479378461837769
1530257429.041638,76,0.9503101110458374
1530257493.667317,77,0.9507838487625122
1530257559.3148,78,0.9539033770561218
1530257624.51055,79,0.9542627930641174
1530257688.979223,80,0.9463970065116882
1530257754.770843,81,0.9382911324501038
1530257818.83432,82,0.9133964776992798
1530257883.107481,83,0.9236255288124084
1530257947.604964,84,0.9361217021942139
1530258012.675956,85,0.9512174129486084
1530258077.390755,86,0.9564850926399231
1530258141.492885,87,0.960055947303772
1530258206.633305,88,0.9621288180351257
1530258270.784025,89,0.963947057723999
1530258335.943247,90,0.9647670388221741
1530258399.99852,91,0.9651191234588623
1530258465.343028,92,0.9660597443580627
1530258529.570478,93,0.9674437642097473
1530258593.941579,94,0.9673184752464294
1530258658.613988,95,0.966664731502533
1530258721.584981,96,0.9654832482337952
1530258787.090848,97,0.9630764126777649
1530258852.294352,98,0.9669501781463623
1530258917.406004,99,0.9566604495048523
1530258981.691811,100,0.9239353537559509
1530259045.797878,101,0.9369986057281494
1530259109.804212,102,0.9422811269760132
1530259174.479873,103,0.9570372700691223
1530259239.007234,104,0.9665807485580444
1530259304.436114,105,0.9689236879348755
1530259369.378977,106,0.9705009460449219
1530259433.428685,107,0.9713816046714783
1530259497.634375,108,0.9724810123443604
1530259562.190885,109,0.9727064967155457
1530259626.303134,110,0.9717086553573608
1530259690.37466,111,0.9707462787628174
1530259756.572853,112,0.970787525177002
1530259820.688634,113,0.9730436205863953
1530259884.942731,114,0.973379909992218
1530259949.387364,115,0.9734789729118347
1530260013.578543,116,0.9737328290939331
1530260078.555607,117,0.9731921553611755
1530260143.886016,118,0.9745351076126099
1530260207.92661,119,0.9752113819122314
1530260272.497698,120,0.9733079075813293
1530260337.56009,121,0.9705047011375427
1530260402.916079,122,0.9662699699401855
1530260467.35491,123,0.9709668159484863
1530260532.571425,124,0.9724895358085632
1530260596.093571,125,0.9727538824081421
1530260660.433876,126,0.9747905135154724
1530260726.101808,127,0.9759733080863953
1530260790.880667,128,0.9765510559082031
1530260855.484918,129,0.9766743183135986
1530260920.339387,130,0.9740133881568909
1530260984.40172,131,0.9729017615318298
1530261049.51737,132,0.9748055338859558
1530261113.743696,133,0.976468563079834
1530261177.927374,134,0.9748846292495728
1530261242.131079,135,0.9755058884620667
1530261307.141173,136,0.9767288565635681
1530261372.233449,137,0.9768396019935608
1530261436.485781,138,0.9779379367828369
1530261502.065084,139,0.9783414602279663
1530261566.756303,140,0.9782296419143677
1530261631.256694,141,0.9767021536827087
1530261695.004971,142,0.9772452712059021
1530261760.074028,143,0.9712351560592651
1530261824.759358,144,0.929153323173523
1530261890.134037,145,0.9167514443397522
1530261954.478138,146,0.91826331615448
1530262019.996461,147,0.929729163646698
1530262084.975969,148,0.9476109147071838
1530262148.758786,149,0.9656823873519897
1530262212.388398,150,0.9732807874679565
1530262277.532056,151,0.9763117432594299
1530262341.583869,152,0.9774604439735413
1530262406.894555,153,0.9779386520385742
1530262470.875771,154,0.9791408777236938
1530262535.512735,155,0.9793400764465332
1530262600.809559,156,0.9801532030105591
1530262666.084746,157,0.9804027080535889
1530262730.943282,158,0.9797765612602234
1530262795.32798,159,0.9796832799911499
1530262858.164979,160,0.9801486134529114
1530262922.289123,161,0.9800024628639221
1530262987.971224,162,0.9810382723808289
1530263051.371053,163,0.9804739356040955
1530263115.763057,164,0.9810283780097961
1530263180.656398,165,0.981515645980835
1530263243.709462,166,0.9815274477005005
1530263308.172913,167,0.980151355266571
1530263372.081449,168,0.9809142351150513
1530263437.403583,169,0.9800711274147034
1530263502.830186,170,0.9809488654136658
1530263567.347517,171,0.9815155267715454
1530263631.469878,172,0.9820775389671326
1530263696.569583,173,0.9814475774765015
1530263760.705571,174,0.9814450144767761
1530263824.433544,175,0.9793022871017456
1530263888.871697,176,0.976624608039856
1530263952.306137,177,0.9781771302223206
1530264016.870577,178,0.9800450205802917
1530264081.288296,179,0.9808568954467773
1530264144.837245,180,0.9813370704650879
1530264209.203532,181,0.9819549918174744
1530264273.268496,182,0.9824053645133972
1530264337.457585,183,0.9828689098358154
1530264401.096571,184,0.9829302430152893
1530264464.976177,185,0.9816985726356506
1530264529.281107,186,0.9810878038406372
1530264592.294025,187,0.9798609018325806
1530264656.350233,188,0.980495274066925
1530264720.259001,189,0.981010377407074
1530264784.271964,190,0.981498122215271
1530264847.896998,191,0.9823831915855408
1530264911.562595,192,0.9826080799102783
1530264975.608706,193,0.9822025299072266
1530265039.746522,194,0.9824532866477966
1530265103.438595,195,0.9827524423599243
1530265167.367068,196,0.9824509024620056
1530265231.785051,197,0.980535626411438
1530265295.932264,198,0.9813541769981384
1530265359.198307,199,0.9822360277175903
1530265423.041506,200,0.9828203320503235
1530265486.65196,201,0.9833926558494568
1530265550.699252,202,0.9836595058441162
1530265613.881276,203,0.9839838147163391
1530265677.830871,204,0.98397296667099
1530265741.238354,205,0.9837338328361511
1530265804.966207,206,0.9833327531814575
1530265868.410118,207,0.9834815263748169
1530265932.397807,208,0.9835839867591858
1530265995.930189,209,0.983119785785675
1530266059.623714,210,0.982343316078186
1530266123.262222,211,0.9814081192016602
1530266186.764997,212,0.9810413122177124
1530266250.273413,213,0.9831546545028687
1530266313.862274,214,0.9842414855957031
1530266377.296473,215,0.9843018651008606
1530266441.025032,216,0.9838694930076599
1530266504.49871,217,0.9829927682876587
1530266568.476153,218,0.9792963862419128
1530266632.077218,219,0.9010114669799805
1530266695.359009,220,0.879666805267334
1530266758.680707,221,0.9407090544700623
1530266822.561953,222,0.9304937720298767
1530266886.193099,223,0.9582586884498596
1530266950.055095,224,0.9745773673057556
1530267013.68984,225,0.9798657894134521
1530267077.399134,226,0.9822616577148438
1530267140.846091,227,0.9835788011550903
1530267204.277072,228,0.9845359921455383
1530267267.928953,229,0.9853776693344116
1530267331.661666,230,0.9861733913421631
1530267395.536205,231,0.9865031838417053
1530267459.080656,232,0.9865249395370483
1530267522.339999,233,0.986490786075592
1530267586.198519,234,0.9864408373832703
1530267649.56152,235,0.9857864379882812
1530267713.187041,236,0.9861269593238831
1530267777.125662,237,0.9862951636314392
1530267840.83527,238,0.9864070415496826
1530267904.473746,239,0.9861382842063904
1530267968.005245,240,0.9861596822738647
1530268031.939573,241,0.9861119985580444
1530268095.691857,242,0.9863035082817078
1530268159.086893,243,0.9856894612312317
1530268222.41003,244,0.9860867857933044
1530268286.757458,245,0.9867208003997803
1530268350.48554,246,0.9870004057884216
1530268414.04424,247,0.9870342016220093
1530268477.379725,248,0.9872225522994995
1530268540.973483,249,0.987003743648529
1530268604.425246,250,0.9869253039360046
1530268667.601278,251,0.9873707294464111
1530268730.956367,252,0.9870905876159668
1530268794.594229,253,0.9865686893463135
1530268858.151968,254,0.9862452149391174
1530268921.54794,255,0.986097514629364
1530268984.625887,256,0.9862661361694336
1530269048.235693,257,0.9860552549362183
1530269111.558883,258,0.9866915941238403
1530269175.168438,259,0.9871097207069397
1530269239.002243,260,0.9864192008972168
1530269302.815174,261,0.9860204458236694
1530269366.326974,262,0.9856741428375244
1530269429.98668,263,0.9860995411872864
1530269494.037556,264,0.9870051145553589
